"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"530085 (2010 XC11)",,,20530085,530085,,,Y,Y,0,18.76,,,,,,,,,,,,,,,,,"JPL 39",2460600.5,60600,2024-10-17.0,J2000,0.8492,2.519,0.380,9.12,94.09,121.47,139.28,4.66,0.2466,2460035.67,2023-04-01.1,1.46e+03,4,0.0319,12.4,0.631,2.79,6.1e-08,3.9e-08,1.5e-07,1.6e-05,4.9e-05,5.1e-05,3.0e-05,7.3e-08,5.8e-09,1.1e-04,3.4e-05,APO,"Otto Matic",4669,2010-12-03,2023-09-15,118,,,0,.60792,,,,,,,,,
"530151 (2011 AW55)",,,20530151,530151,,,Y,N,0,20.70,,,,,,,,,,,,,,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.5171,1.105,0.534,21.91,304.19,321.97,186.40,1.68,0.848,2460805.21,2025-05-09.7,425,1.16,0.177,68.7,3.5,5.44,6.5e-07,7.8e-09,7.2e-07,5.7e-05,2.9e-05,5.2e-05,1.5e-04,1.2e-08,9.0e-09,1.8e-04,4.5e-06,APO,"Otto Matic",5855,2002-12-31,2019-01-11,69,,,1,.50839,,,,,,,,,
"530520 (2011 LT17)",,,20530520,530520,,,Y,Y,0,21.85,,,,,,,,,,1.291,,,,,,,"JPL 30",2460600.5,60600,2024-10-17.0,J2000,0.2874,1.1,0.784,20.90,83.45,270.62,146.20,1.42,0.8546,2460429.43,2024-04-28.9,421,1.15,0.00173,0.672,4.05,5.55,8.2e-08,7.0e-09,8.7e-08,1.4e-05,3.5e-06,9.4e-06,4.1e-05,9.0e-09,8.1e-09,4.6e-05,4.0e-06,APO,"Otto Matic",3103,2011-06-09,2019-12-07,117,,,0,.36258,,,,,,,,,
"530531 (2011 OL5)",,,20530531,530531,,,Y,N,0,20.24,,,,,,,0.280,,0.187,11.009,,,,,,0.07,"JPL 97",2460600.5,60600,2024-10-17.0,J2000,0.1586,1.222,1.028,15.73,105.67,64.99,46.79,1.42,0.7299,2460536.39,2024-08-13.8,493,1.35,0.119,46.5,3.61,5.18,2.1e-08,2.6e-09,2.7e-08,4.5e-06,7.2e-06,1.4e-05,1.5e-05,3.0e-09,2.3e-09,2.0e-05,1.6e-06,AMO,"Otto Matic",4417,2010-12-15,2023-01-18,636,,,0,.38436,,,,,,,,,
"530743 (2011 UA131)",,,20530743,530743,,,Y,N,0,17.79,,,,,,,,,,,,,,,,,"JPL 112",2460600.5,60600,2024-10-17.0,J2000,0.5984,2.576,1.035,24.89,215.18,72.94,105.02,4.12,0.2384,2460160.03,2023-08-03.5,1.51e+03,4.13,0.258,101,1.98,3.04,2.8e-08,1.9e-08,7.5e-08,1.1e-05,9.2e-06,1.2e-05,3.2e-06,3.1e-08,2.7e-09,1.3e-05,1.7e-05,AMO,"Otto Matic",4427,2011-10-23,2023-12-06,515,,,0,.56365,,,,,,,,,
"530871 (2011 WS2)",,,20530871,530871,,,Y,N,0,17.25,,,,,,,1.434,,,,,,,,,0.06,"JPL 37",2460600.5,60600,2024-10-17.0,J2000,0.7434,1.009,0.259,46.79,326.74,307.67,305.32,1.76,0.9718,2460656.77,2024-12-12.2,370,1.01,0.0929,36.2,3.84,5.56,8.0e-07,1.3e-08,8.1e-07,4.8e-05,1.7e-04,1.2e-04,8.8e-05,2.4e-08,1.9e-08,9.1e-05,7.4e-06,APO,"Otto Matic",4024,2010-01-07,2021-01-13,127,,,1,.38454,,,,,,,,,
"530938 (2011 XE)",,,20530938,530938,,,Y,N,0,19.30,,,,,,,0.413,,0.197,,,,,,,0.01,"JPL 59",2460600.5,60600,2024-10-17.0,J2000,0.4634,0.7839,0.421,20.72,221.25,46.62,331.73,1.15,1.42,2460620.41,2024-11-05.9,254,0.694,0.0533,20.7,3.95,7.28,2.5e-07,2.0e-09,1.9e-07,3.4e-05,5.4e-05,4.6e-05,5.0e-05,3.0e-09,5.5e-09,3.5e-05,9.9e-07,ATE,"Otto Matic",6848,2004-12-14,2023-09-14,296,,,0,.53292,,,,,,,,,
"530940 (2011 XE1)",,,20530940,530940,,,Y,N,0,18.19,,,,,,,,,,,,,,,,,"JPL 71",2460600.5,60600,2024-10-17.0,J2000,0.4696,2.323,1.232,18.31,272.39,243.33,199.92,3.41,0.2784,2461175.57,2026-05-15.0,1.29e+03,3.54,0.36,140,2,3.36,1.5e-07,2.9e-08,3.6e-07,1.4e-05,1.8e-05,3.3e-05,3.1e-05,4.3e-08,5.3e-09,1.2e-04,2.4e-05,AMO,"Otto Matic",3568,2011-12-03,2021-09-09,405,,,0,.31886,,,,,,,,,
"530974 (2012 BN11)",,,20530974,530974,,,Y,Y,0,20.77,,,,,,,,,,5.357,,,,,,,"JPL 66",2460600.5,60600,2024-10-17.0,J2000,0.3950,1.457,0.882,4.36,153.71,69.77,39.68,2.03,0.5602,2460529.66,2024-08-07.1,643,1.76,0.0216,8.42,2.95,4.54,2.6e-08,3.7e-09,3.8e-08,7.4e-06,2.9e-05,3.1e-05,1.5e-05,5.2e-09,2.1e-09,2.7e-05,2.4e-06,APO,"Otto Matic",2787,2012-01-19,2019-09-06,319,,,0,.49595,,,,,,,,,
"531060 (2012 DJ61)",,,20531060,531060,,,Y,Y,0,19.89,,,,,,,,,,,,,,,,,"JPL 32",2460600.5,60600,2024-10-17.0,J2000,0.5153,0.9176,0.445,53.63,346.27,311.96,21.87,1.39,1.121,2460581.00,2024-09-27.5,321,0.879,0.03,11.7,4.17,6.1,4.7e-07,5.4e-09,4.3e-07,4.6e-05,1.7e-05,1.4e-05,6.5e-05,8.2e-09,9.9e-09,5.8e-05,2.8e-06,ATE,"Otto Matic",2927,2012-02-28,2020-03-04,116,,,0,.49905,,,,,,,,,
"531277 (2012 MM11)",,,20531277,531277,,,Y,Y,0,20.30,,,,,,,,,,13.,,,,,,,"JPL 71",2460600.5,60600,2024-10-17.0,J2000,0.6479,2.113,0.744,3.18,245.42,124.24,341.40,3.48,0.3208,2460658.48,2024-12-13.9,1.12e+03,3.07,0.0112,4.36,2,3.43,1.3e-08,3.2e-09,2.7e-08,4.7e-06,7.8e-05,7.8e-05,5.5e-06,5.3e-09,7.3e-10,1.7e-05,2.6e-06,APO,"Otto Matic",3511,2012-06-24,2022-02-03,549,2,1,0,.36599,,,,,,,,,
"531898 (2013 BE18)",,,20531898,531898,,,Y,N,0,21.04,,,,,,,,,,5.89,,,,,,,"JPL 31",2460600.5,60600,2024-10-17.0,J2000,0.3874,2.047,1.254,2.43,299.87,265.19,317.64,2.84,0.3366,2460726.35,2025-02-19.8,1.07e+03,2.93,0.257,99.9,2.13,3.7,9.0e-08,7.1e-08,1.5e-07,2.9e-06,9.6e-05,1.4e-04,9.7e-06,9.8e-08,1.7e-08,3.1e-05,5.5e-05,AMO,"Otto Matic",2357,2013-01-16,2019-07-01,165,,,0,.50409,,,,,,,,,
"531899 (2013 BE19)",,,20531899,531899,,,Y,Y,0,19.78,,,,,,,,,,115,,,,,,,"JPL 41",2460600.5,60600,2024-10-17.0,J2000,0.2974,0.9113,0.640,31.01,309.26,311.97,65.21,1.18,1.133,2460542.95,2024-08-20.4,318,0.87,0.0462,18,4.03,6.39,2.2e-07,5.3e-09,2.0e-07,3.0e-05,4.1e-06,1.5e-05,4.6e-05,6.9e-09,9.9e-09,4.0e-05,2.8e-06,ATE,"Otto Matic",2559,2013-01-18,2020-01-21,273,,,0,.37149,,,,,,,,,
"531914 (2013 BW76)",,,20531914,531914,,,Y,Y,0,18.37,,,,,,,,,,,,,,,,,"JPL 36",2460600.5,60600,2024-10-17.0,J2000,0.5337,2.058,0.960,40.36,58.22,0.56,350.41,3.16,0.3338,2460629.24,2024-11-14.7,1.08e+03,2.95,0.0281,10.9,2.23,3.34,5.6e-08,1.4e-08,1.1e-07,2.0e-05,1.5e-05,1.9e-05,7.7e-06,2.1e-08,3.3e-09,2.3e-05,1.1e-05,APO,"Otto Matic",3367,2013-01-22,2022-04-12,123,,,0,.50998,,,,,,,,,
"531944 (2013 CU83)",,,20531944,531944,,,Y,Y,0,21.33,,,,,,,,,,,,,,,,,"JPL 51",2460600.5,60600,2024-10-17.0,J2000,0.1829,1.285,1.050,10.34,303.33,18.84,176.89,1.52,0.677,2460339.21,2024-01-29.7,532,1.46,0.0424,16.5,3.73,5.01,3.3e-08,1.2e-08,4.6e-08,9.6e-06,8.8e-06,3.9e-05,1.9e-05,1.4e-08,9.6e-09,3.1e-05,7.5e-06,AMO,"Otto Matic",3576,2013-02-10,2022-11-26,335,,,0,.43008,,,,,,,,,
"532058 (2013 GU68)",,,20532058,532058,,,Y,N,0,19.47,,,,,,,,,,,,,,,,,"JPL 37",2460600.5,60600,2024-10-17.0,J2000,0.2654,1.587,1.166,22.79,29.71,23.37,43.19,2.01,0.4931,2460512.92,2024-07-21.4,730,2,0.188,73.2,3.44,4.26,1.7e-06,1.1e-08,2.7e-06,1.4e-04,3.3e-05,6.6e-04,1.1e-03,1.4e-08,5.2e-09,2.2e-03,7.6e-06,AMO,"Otto Matic",5865,2007-04-23,2023-05-14,113,,,1,.62062,,,,,,,,,
"532874 (2013 YZ13)",,,20532874,532874,,,Y,N,0,19.64,,,,,,,0.310,,0.266,23.86,,,,,,0.10,"JPL 53",2460600.5,60600,2024-10-17.0,J2000,0.2618,1.39,1.026,31.22,288.39,235.54,171.05,1.75,0.6011,2460315.95,2024-01-06.4,599,1.64,0.136,53,3.46,4.59,6.1e-08,6.5e-09,8.3e-08,2.4e-05,5.2e-06,2.0e-05,2.6e-05,8.2e-09,4.2e-09,4.2e-05,4.2e-06,AMO,"Otto Matic",8417,2001-06-23,2024-07-09,291,0,1,0,.35937,,,,,,,,,
"533011 (2014 AY28)",,,20533011,533011,,,Y,Y,0,21.85,,,,,,,,,,0.9139,,,,,,,"JPL 71",2460600.5,60600,2024-10-17.0,J2000,0.2826,1.425,1.023,5.71,169.57,22.73,71.50,1.83,0.5791,2460477.05,2024-06-15.5,622,1.7,0.0381,14.8,3.13,4.65,1.3e-08,1.9e-08,1.1e-08,2.6e-06,8.9e-06,1.2e-05,4.6e-05,2.4e-08,1.1e-08,7.7e-05,1.2e-05,AMO,"Otto Matic",1809,2014-01-04,2018-12-18,378,2,0,0,.35033,,,,,,,,,
"533372 (2014 GG17)",,,20533372,533372,,,Y,Y,0,20.17,,,,,,,,,,,,,,,,,"JPL 44",2460600.5,60600,2024-10-17.0,J2000,0.3525,1.367,0.885,39.15,195.28,239.58,297.85,1.85,0.6168,2460701.26,2025-01-25.7,584,1.6,0.0155,6.02,3.82,4.55,1.7e-07,6.2e-09,2.3e-07,1.5e-05,8.4e-06,4.3e-05,7.4e-05,8.4e-09,4.2e-09,1.2e-04,4.0e-06,APO,"Otto Matic",2946,2014-04-04,2022-04-28,142,,,0,.42184,,,,,,,,,
"533541 (2014 JU54)",,,20533541,533541,,,Y,N,0,19.92,,,,,,,,,,,,,,,,,"JPL 27",2460600.5,60600,2024-10-17.0,J2000,0.2675,1.437,1.053,26.77,88.32,10.66,132.86,1.82,0.5721,2460368.28,2024-02-27.7,629,1.72,0.073,28.4,3.4,4.53,7.3e-08,8.2e-08,1.5e-07,2.2e-05,6.7e-06,9.3e-05,5.4e-05,1.0e-07,4.9e-08,7.4e-05,5.4e-05,AMO,"Otto Matic",1723,2014-05-07,2019-01-24,114,,,1,.39356,,,,,,,,,
"533638 (2014 KT86)",,,20533638,533638,,,Y,N,0,20.39,,,,,,,,,,,,,,,,,"JPL 68",2460600.5,60600,2024-10-17.0,J2000,0.1677,1.187,0.988,22.46,69.05,288.98,292.45,1.39,0.7618,2460689.17,2025-01-13.6,473,1.29,0.0997,38.8,3.94,5.25,2.4e-08,3.2e-09,2.9e-08,8.2e-06,4.9e-06,1.2e-05,1.2e-05,3.7e-09,3.1e-09,1.5e-05,1.9e-06,APO,"Otto Matic",8256,2001-05-24,2023-12-31,322,,,0,.44346,,,,-4.6e-14,9.6e-15,,,,
"533671 (2014 LJ21)",,,20533671,533671,,,Y,Y,0,15.90,,,,,,,,,,16.41,,,,,,,"JPL 107",2460600.5,60600,2024-10-17.0,J2000,0.8956,2.889,0.302,24.28,126.58,302.90,51.35,5.48,0.2007,2460344.65,2024-02-04.1,1.79e+03,4.91,0.0262,10.2,1.57,2.41,4.6e-08,1.3e-08,1.3e-07,6.0e-06,4.3e-05,4.1e-05,3.9e-06,2.6e-08,1.4e-09,1.8e-05,1.3e-05,APO,"Otto Matic",6977,2005-05-12,2024-06-18,618,,,0,.43014,,,,,,,,,
"533722 (2014 NE52)",,,20533722,533722,,,Y,Y,0,18.21,,,,,,,0.701,,0.249,,,,,,,0.22,"JPL 55",2460600.5,60600,2024-10-17.0,J2000,0.6585,2.385,0.815,3.86,54.52,337.61,256.99,3.96,0.2675,2460985.56,2025-11-06.0,1.35e+03,3.68,0.0357,13.9,1.49,3.2,4.8e-08,2.6e-07,4.3e-08,3.8e-06,1.0e-04,1.0e-04,1.6e-04,4.3e-07,4.4e-08,6.6e-04,2.2e-04,APO,"Otto Matic",1794,2014-05-06,2019-04-04,314,,,1,.48326,,,,,,,,,
"533990 (2014 QX266)",,,20533990,533990,,,Y,N,0,22.41,,,,,,,,,,0.220054,,,,,,,"JPL 29",2460600.5,60600,2024-10-17.0,J2000,0.2236,1.412,1.096,2.82,355.86,262.91,66.01,1.73,0.5877,2460488.19,2024-06-26.6,613,1.68,0.097,37.7,3.32,4.7,5.6e-08,5.0e-09,8.3e-08,3.4e-06,4.7e-05,5.0e-05,1.6e-05,6.1e-09,3.1e-09,2.6e-05,3.3e-06,AMO,"Otto Matic",7108,2004-10-15,2024-04-01,109,,,0,.6173,,,,,,,,,
"534676 (2014 VK2)",,,20534676,534676,,,Y,N,0,18.65,,,,,,,0.691,,0.123,,,,,,,0.16,"JPL 44",2460600.5,60600,2024-10-17.0,J2000,0.6036,1.838,0.728,16.39,63.31,232.01,23.47,2.95,0.3957,2460541.17,2024-08-18.6,910,2.49,0.0937,36.5,2.41,3.74,7.6e-08,9.1e-09,1.4e-07,8.2e-06,2.2e-05,2.5e-05,1.4e-05,1.5e-08,2.9e-09,3.4e-05,6.8e-06,APO,"Otto Matic",3487,2014-10-26,2024-05-13,198,,,0,.4664,,,,,,,,,
"535148 (2014 XR6)",,,20535148,535148,,,Y,N,0,18.38,,,,,,,0.861,,0.114,,,,,,,0.34,"JPL 82",2460600.5,60600,2024-10-17.0,J2000,0.5321,2.588,1.211,27.14,67.96,70.78,124.26,3.96,0.2367,2460075.62,2023-05-11.1,1.52e+03,4.16,0.429,167,2.11,3.07,3.9e-08,2.7e-08,1.1e-07,9.5e-06,9.6e-06,1.3e-05,1.1e-05,4.2e-08,3.7e-09,4.1e-05,2.4e-05,AMO,"Otto Matic",4236,2011-06-07,2023-01-11,330,,,0,.55008,,,,,,,,,
"535221 (2014 YN44)",,,20535221,535221,,,Y,N,0,19.07,,,,,,,,,,,,,,,,,"JPL 29",2460600.5,60600,2024-10-17.0,J2000,0.3277,1.606,1.079,22.21,93.63,185.28,133.99,2.13,0.4844,2460323.90,2024-01-14.4,743,2.03,0.0652,25.4,3,4.21,3.9e-06,1.7e-07,6.2e-06,1.1e-04,5.9e-05,9.5e-04,1.8e-03,2.3e-07,7.8e-08,3.7e-03,1.2e-04,AMO,"Otto Matic",2910,2014-12-29,2022-12-17,89,,,2,.52528,,,,,,,,,
"535844 (2015 BY310)",,,20535844,535844,,,Y,Y,0,21.89,,,,,,,,,,0.0926702,,,,,,,"JPL 123",2460600.5,60600,2024-10-17.0,J2000,0.4008,1.587,0.951,4.79,328.41,229.53,277.70,2.22,0.493,2460767.43,2025-04-01.9,730,2,0.0243,9.45,2.75,4.29,8.7e-09,3.2e-09,1.4e-08,2.0e-06,7.2e-06,7.7e-06,1.6e-06,4.5e-09,1.5e-09,3.4e-06,2.2e-06,APO,"Otto Matic",3097,2015-01-18,2023-07-12,609,1,0,0,.3765,,,,,,,,,
"536531 (2015 DV215)",,,20536531,536531,,,Y,Y,0,20.46,,,,,,,,,,,,,,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.4027,1.538,0.919,13.20,13.92,41.37,73.05,2.16,0.5166,2460459.09,2024-05-28.5,697,1.91,0.00744,2.9,3.28,4.35,9.5e-08,3.7e-08,1.6e-07,1.9e-05,2.8e-05,3.4e-05,6.4e-05,5.2e-08,1.9e-08,1.2e-04,2.5e-05,APO,"Otto Matic",1644,2014-10-07,2019-04-08,79,,,0,.60629,,,,,,,,,
"537098 (2015 GZ45)",,,20537098,537098,,,Y,N,0,19.13,,,,,,,,,,,,,,,,,"JPL 71",2460600.5,60600,2024-10-17.0,J2000,0.4868,2.055,1.055,5.68,21.76,298.98,18.07,3.06,0.3346,2460546.49,2024-08-23.9,1.08e+03,2.95,0.0932,36.3,2.3,3.62,3.3e-08,1.6e-08,7.0e-08,4.3e-06,2.5e-05,2.9e-05,3.9e-06,2.3e-08,3.9e-09,1.2e-05,1.2e-05,AMO,"Otto Matic",3469,2015-04-13,2024-10-11,300,,,0,.45128,,,,,,,,,
"537342 (2015 KN120)",,,20537342,537342,,,Y,N,0,20.43,,,,,,,,,,9.09,,,,,,,"JPL 122",2460600.5,60600,2024-10-17.0,J2000,0.3909,1.601,0.975,18.56,189.70,127.09,196.04,2.23,0.4864,2460937.55,2025-09-19.0,740,2.03,0.0751,29.2,3.24,4.22,1.2e-08,2.7e-09,1.9e-08,5.2e-06,4.8e-06,6.1e-06,3.8e-06,3.7e-09,1.2e-09,8.5e-06,1.9e-06,APO,"Otto Matic",3091,2015-05-22,2023-11-07,547,,,0,.46327,,,,,,,,,
"537395 (2015 LG2)",,,20537395,537395,,,Y,Y,0,20.48,,,,,,,,,,16.31,,,,,,,"JPL 54",2460600.5,60600,2024-10-17.0,J2000,0.1817,1.26,1.031,21.29,133.11,188.91,179.81,1.49,0.6973,2460342.62,2024-02-02.1,516,1.41,0.0188,7.31,3.79,5.03,3.9e-08,5.3e-09,5.0e-08,9.8e-06,5.9e-06,1.4e-05,2.1e-05,6.3e-09,4.4e-09,2.9e-05,3.3e-06,AMO,"Otto Matic",7448,2002-01-10,2022-06-02,214,2,2,0,.374,,,,,,,,,
"537467 (2015 ME54)",,,20537467,537467,,,Y,N,0,20.40,,,,,,,,,,,,,,,,,"JPL 56",2460600.5,60600,2024-10-17.0,J2000,0.3440,1.64,1.076,14.14,96.84,85.80,216.22,2.20,0.4693,2460906.89,2025-08-19.3,767,2.1,0.245,95.4,2.85,4.2,3.0e-08,1.9e-08,5.6e-08,6.8e-06,1.5e-05,1.8e-05,2.4e-05,2.6e-08,8.2e-09,5.6e-05,1.3e-05,AMO,"Otto Matic",2027,2015-06-20,2021-01-06,237,,,0,.52755,,,,,,,,,
"537686 (2015 SA17)",,,20537686,537686,,,Y,N,0,18.95,,,,,,,,,,9.89,,,,,,,"JPL 33",2460600.5,60600,2024-10-17.0,J2000,0.3169,1.659,1.133,42.56,8.93,321.30,107.21,2.18,0.4614,2460368.17,2024-02-27.6,780,2.14,0.189,73.5,3.38,3.93,1.1e-07,5.5e-08,1.9e-07,2.5e-05,6.8e-06,4.1e-05,9.6e-05,7.3e-08,2.3e-08,2.0e-04,3.9e-05,AMO,"Otto Matic",2731,2015-09-25,2023-03-18,338,,,1,.27513,,,,,,,,,
"537829 (2015 XY378)",,,20537829,537829,,,Y,N,0,19.51,,,,,,,0.312,,0.214,,,,,,,0.08,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.4893,0.7102,0.363,13.92,1.21,265.66,120.68,1.06,1.647,2460527.22,2024-08-04.7,219,0.598,0.197,76.6,4.06,7.95,2.9e-07,1.2e-08,2.1e-07,2.1e-05,2.5e-04,2.3e-04,1.4e-04,1.7e-08,4.1e-08,8.6e-05,5.4e-06,ATE,"Otto Matic",2192,2015-12-01,2021-12-01,154,,,1,.44433,,,,,,,,,
"538085 (2016 BO1)",,,20538085,538085,,,Y,N,0,17.72,,,,,,,,,,,,,,,,,"JPL 35",2460600.5,60600,2024-10-17.0,J2000,0.5646,1.873,0.815,62.61,153.73,206.86,243.32,2.93,0.3845,2460903.93,2025-08-16.4,936,2.56,0.159,61.9,2.68,3.23,3.1e-07,5.9e-08,5.8e-07,4.7e-05,9.3e-06,4.2e-05,7.9e-05,9.3e-08,1.8e-08,2.1e-04,4.5e-05,APO,"Otto Matic",2950,2016-01-08,2024-02-05,113,,,1,.56555,,,,,,,,,
"538212 (2016 CA136)",,,20538212,538212,,,Y,Y,0,19.35,,,,,,,0.654,,0.079,,,,,,,0.19,"JPL 50",2460600.5,60600,2024-10-17.0,J2000,0.7812,2.032,0.444,1.26,239.74,125.01,18.73,3.62,0.3404,2460545.48,2024-08-22.9,1.06e+03,2.9,0.00705,2.74,1.85,3.34,3.3e-08,1.3e-08,6.8e-08,4.3e-06,2.3e-04,2.3e-04,9.7e-06,2.3e-08,3.3e-09,2.8e-05,1.0e-05,APO,"Otto Matic",3339,2015-04-18,2024-06-08,289,,,0,.50248,,,,,,,,,
"538644 (2016 FA4)",,,20538644,538644,,,Y,N,0,19.47,,,,,,,,,,,,,,,,,"JPL 39",2460600.5,60600,2024-10-17.0,J2000,0.7934,1.092,0.226,16.21,53.63,281.74,105.85,1.96,0.8638,2460477.96,2024-06-16.4,417,1.14,0.163,63.3,3.54,5.3,6.1e-08,6.6e-09,6.7e-08,8.2e-06,4.2e-05,4.0e-05,1.7e-05,1.2e-08,7.9e-09,1.9e-05,3.8e-06,APO,"Otto Matic",2959,2016-03-18,2024-04-24,151,,,0,.45576,,,,,,,,,
"538648 (2016 FS6)",,,20538648,538648,,,Y,N,0,19.48,,,,,,,,,,,,,,,,,"JPL 23",2460600.5,60600,2024-10-17.0,J2000,0.7764,1.299,0.290,37.18,165.10,175.25,198.72,2.31,0.6658,2460842.75,2025-06-16.2,541,1.48,0.445,173,3.11,4.51,3.5e-07,2.2e-08,4.5e-07,6.5e-05,3.8e-05,3.5e-05,4.7e-05,3.9e-08,1.7e-08,7.4e-05,1.4e-05,APO,"Otto Matic",2225,2016-03-17,2022-04-20,104,,,0,.49994,,,,,,,,,
"538979 (2016 KE)",,,20538979,538979,,,Y,N,0,19.61,,,,,,,,,,,,,,,,,"JPL 16",2460600.5,60600,2024-10-17.0,J2000,0.4285,2.2,1.258,22.74,111.78,79.61,239.93,3.14,0.302,2460998.14,2025-11-18.6,1.19e+03,3.26,0.464,181,2.3,3.45,6.3e-08,1.5e-08,1.4e-07,3.3e-05,2.4e-05,5.5e-05,3.8e-05,2.1e-08,3.1e-09,1.3e-04,1.2e-05,AMO,"Otto Matic",4929,2005-12-25,2019-06-24,53,,,0,.55549,,,,,,,,,
"539063 (2016 MK1)",,,20539063,539063,,,Y,Y,0,19.12,,,,,,,,,,,,,,,,,"JPL 21",2460600.5,60600,2024-10-17.0,J2000,0.7160,1.5,0.426,10.78,178.30,240.70,94.81,2.57,0.5362,2460423.70,2024-04-23.1,671,1.84,0.0246,9.59,2.86,4.2,7.9e-08,6.2e-09,1.2e-07,8.5e-06,3.1e-05,3.2e-05,1.7e-05,1.1e-08,3.3e-09,3.0e-05,4.2e-06,APO,"Otto Matic",6244,2004-04-05,2021-05-10,82,,,0,.61732,,,,,,,,,
"539694 (2016 TE93)",,,20539694,539694,,,Y,N,0,21.32,,,,,,,,,,,,,,,,,"JPL 30",2460600.5,60600,2024-10-17.0,J2000,0.1757,1.035,0.853,22.73,214.23,353.26,38.69,1.22,0.9355,2460559.15,2024-09-05.6,385,1.05,0.15,58.2,3.74,5.84,3.4e-07,8.5e-08,2.9e-07,3.5e-05,1.1e-05,9.3e-05,3.1e-04,1.0e-07,1.1e-07,3.3e-04,4.7e-05,APO,"Otto Matic",745,2016-10-13,2018-10-28,118,,,2,.52122,,,,,,,,,
"539856 (2017 EV2)",,,20539856,539856,,,Y,N,0,20.92,,,,,,,,,,,,,,,,,"JPL 68",2460600.5,60600,2024-10-17.0,J2000,0.5576,1.01,0.447,16.50,3.13,32.24,279.77,1.57,0.9708,2460683.14,2025-01-07.6,371,1.02,0.116,45.1,3.9,5.85,3.0e-07,1.2e-08,3.0e-07,1.7e-05,7.3e-06,2.2e-05,3.0e-05,1.9e-08,1.7e-08,3.2e-05,6.7e-06,APO,"Otto Matic",2594,2017-03-05,2024-04-11,316,,,0,.51838,,,,,,,,,
"539940 (2017 HW1)",,,20539940,539940,,,Y,N,1,18.01,,,,,,,,,,2.6346,,,,,,,"JPL 96",2460600.5,60600,2024-10-17.0,J2000,0.4591,2.137,1.156,33.96,41.32,168.84,156.64,3.12,0.3155,2460104.01,2023-06-08.5,1.14e+03,3.12,0.156,60.9,1.87,3.38,4.5e-08,2.8e-08,1.0e-07,8.9e-06,5.1e-06,1.1e-05,1.0e-05,4.1e-08,6.3e-09,2.2e-05,2.3e-05,AMO,"Otto Matic",3862,2012-10-22,2023-05-20,1470,,,0,.32755,,,,,,,,,
"543319 (2013 YE38)",,,20543319,543319,,,Y,N,0,20.22,,,,,,,,,,,,,,,,,"JPL 36",2460600.5,60600,2024-10-17.0,J2000,0.6244,2.066,0.776,34.17,79.60,281.84,251.36,3.36,0.3318,2460927.92,2025-09-09.4,1.08e+03,2.97,0.0944,36.7,3.08,3.33,2.0e-08,1.1e-08,4.3e-08,1.9e-05,6.6e-06,1.0e-05,9.6e-06,1.8e-08,2.7e-09,3.1e-05,8.8e-06,APO,"Otto Matic",3256,2013-12-28,2022-11-27,170,,,0,.52681,,,,,,,,,
"545274 (2011 FZ2)",,,20545274,545274,,,Y,N,0,17.48,,,,,,,,,,,,,,,,,"JPL 68",2460600.5,60600,2024-10-17.0,J2000,0.7839,2.664,0.576,13.31,98.91,216.37,1.32,4.75,0.2267,2460594.69,2024-10-11.1,1.59e+03,4.35,0.177,68.9,0.819,2.82,3.8e-08,1.0e-08,1.0e-07,7.6e-06,4.3e-05,4.3e-05,5.1e-06,1.9e-08,1.3e-09,2.2e-05,9.3e-06,APO,"Otto Matic",4786,2011-03-25,2024-05-01,269,,,0,.43126,,,,,,,,,
"549328 (2011 GO27)",,,20549328,549328,,,Y,N,0,19.01,,,,,,,,,,,,,,,,,"JPL 90",2460600.5,60600,2024-10-17.0,J2000,0.4714,1.855,0.981,6.67,336.82,95.83,198.79,2.73,0.3901,2461013.78,2025-12-04.2,923,2.53,0.103,40.2,2.63,3.85,4.3e-08,1.2e-08,7.9e-08,7.0e-06,3.2e-05,3.5e-05,6.1e-06,1.7e-08,3.7e-09,1.8e-05,8.7e-06,APO,"Otto Matic",3664,2011-04-03,2021-04-14,396,,,0,.49475,,,,,,,,,
